Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-JUN-2025,13814.15,13908.35,13777.85,13845.8,1684183555,70088.27
06-JUN-2025,13856.55,14005.25,13814.9,13996.3,1959361003,75959.95
09-JUN-2025,14082.45,14093.55,14049.15,14086.9,1992224671,62525.88
10-JUN-2025,14141.4,14142.35,14059.25,14089.9,1573616667,66920.77
11-JUN-2025,14109.2,14138.4,14056.4,14087.75,1809802454,64055.58
12-JUN-2025,14102.2,14107.1,13891.8,13915.6,1582987045,64009.18
13-JUN-2025,13667.55,13842.25,13667.55,13825.4,1654517908,59184.31
16-JUN-2025,13830.75,13957.7,13777.05,13949.35,1578041225,51750.53
17-JUN-2025,13967,13968.3,13868,13883.75,2320692994,64984.99
18-JUN-2025,13853.15,13932.5,13816.5,13850.75,1427894996,56669.65
19-JUN-2025,13847.9,13875.05,13746.65,13777.1,1856969698,55418.62
20-JUN-2025,13776.4,13975.35,13776.4,13959.6,2607934205,112245.81
23-JUN-2025,13862.1,13959.45,13823.15,13915.75,1377415847,52507.46
24-JUN-2025,14043,14105.65,13954.25,13977.25,2416417602,70654.33
25-JUN-2025,14037.6,14079.7,14021.3,14074.1,2088797376,54275.69
26-JUN-2025,14096.4,14231.3,14090.65,14223.3,2188962474,74503.58
27-JUN-2025,14247.55,14294.4,14230.85,14276.05,2561504152,101420.36
30-JUN-2025,14302.6,14305.75,14223.85,14252.65,1695354167,59926.86
01-JUL-2025,14276.15,14289.35,14226.5,14260.5,1876366818,57440.12
02-JUL-2025,14281.7,14293.25,14168.85,14217.35,1857888479,57792.8
03-JUL-2025,14244.65,14275.35,14178.35,14188.6,1799512787,54861.84
04-JUL-2025,14207.3,14221.35,14146.25,14217.15,1280737964,46290.81
07-JUL-2025,14216.95,14236.65,14187.1,14214.05,1113291327,40488.08
08-JUL-2025,14204.85,14245.05,14174.55,14233.25,1254256130,50356.85
09-JUL-2025,14233.75,14250.05,14183.2,14211.15,1262523726,50092.35
10-JUL-2025,14232.5,14238.85,14141.3,14152.9,1120337653,47984.44
11-JUL-2025,14111.85,14143.7,14021.7,14036.6,1267960869,57523.23
14-JUL-2025,14041.3,14055.7,13988.1,14036.8,2484182445,55785.58
15-JUL-2025,14049,14130.55,14043.3,14116.2,1747399329,51375.45
16-JUL-2025,14120.75,14146.1,14083.95,14126.95,1757822757,51750.1
17-JUL-2025,14144,14147.15,14073.8,14079.55,1316201973,52629.64
18-JUL-2025,14082.85,14096.1,13972.75,13993.45,1254221049,52958.33
21-JUL-2025,14006.9,14074.1,13944.8,14063.4,1234574210,50728.99
22-JUL-2025,14106.2,14110.6,14020.75,14029.75,1497758565,58254.22
23-JUL-2025,14067.65,14107.5,14021.45,14102.3,1439031158,53960.7
24-JUL-2025,14111.9,14112.9,13994.55,14023,1420671273,56895.96
25-JUL-2025,13993.65,13993.65,13849.05,13866.75,1297421395,52638.61
28-JUL-2025,13838.25,13915.2,13756.3,13775.75,1444630077,50517.68
29-JUL-2025,13740.7,13877.65,13737.65,13866.45,1239402712,53824.37
30-JUL-2025,13900.2,13900.55,13830.65,13879.35,1154885388,47840.51
31-JUL-2025,13744.55,13909.25,13743.05,13814,1457586342,60615.44
01-AUG-2025,13802.65,13813.3,13661.65,13678.5,1603179583,51334.09
04-AUG-2025,13692.35,13799.1,13667.8,13792.6,1387631699,45554.65
05-AUG-2025,13794.45,13795.9,13711.15,13750.75,1297255023,49142.27
06-AUG-2025,13755.1,13762.05,13662,13686.15,1090089521,49347.61
07-AUG-2025,13623.95,13728.35,13545.25,13706.85,1569876922,61468.75
08-AUG-2025,13695.15,13703.9,13541.4,13555.15,1247171548,63991.39
11-AUG-2025,13559.1,13691.75,13540.95,13682.25,1074428181,43846.97
12-AUG-2025,13677.95,13743.55,13626.05,13636.7,1093750177,44114.91
13-AUG-2025,13689.5,13737.05,13669.15,13713.6,1509717939,50051.89
14-AUG-2025,13720.05,13743.9,13687.4,13707.7,1654288872,49993.9
18-AUG-2025,13875.95,13926.25,13846.15,13852.8,1932815678,68391.6
19-AUG-2025,13867.05,13937.35,13839,13930,1843955062,51774.66
20-AUG-2025,13926.65,13994.3,13905.7,13975.2,2544178427,57541.8
21-AUG-2025,14022.8,14024.3,13966.85,13973.3,1722070497,52717.38
22-AUG-2025,13970.05,13976.5,13869.05,13875.4,2713353475,43720.83
25-AUG-2025,13923.25,13953.55,13892.8,13920.85,2361910517,44435.62
26-AUG-2025,13884.4,13894.25,13745.75,13757.8,3867236098,97439.71
28-AUG-2025,13757.3,13757.3,13614.15,13622.25,2413758155,69757.28
29-AUG-2025,13608.3,13671.4,13562.5,13575.1,2306638884,56421.55
01-SEP-2025,13589.55,13728,13589.5,13723.05,2328877652,50040.17
